Timestamp,Year,Month,Day,Hour,PM2.5
11/7/2017 12:00,2017,11,7,12,64.51
11/7/2017 13:00,2017,11,7,13,69.95
11/7/2017 14:00,2017,11,7,14,92.79
11/7/2017 15:00,2017,11,7,15,109.66
11/7/2017 16:00,2017,11,7,16,116.5
11/7/2017 17:00,2017,11,7,17,124.21
11/7/2017 18:00,2017,11,7,18,123.45
11/7/2017 19:00,2017,11,7,19,120.31
11/7/2017 20:00,2017,11,7,20,108.75
11/7/2017 21:00,2017,11,7,21,97.8
11/7/2017 22:00,2017,11,7,22,88.1
11/7/2017 23:00,2017,11,7,23,81.64
11/8/2017 0:00,2017,11,8,0,83.82
11/8/2017 1:00,2017,11,8,1,85.14
11/8/2017 2:00,2017,11,8,2,90.41
11/8/2017 3:00,2017,11,8,3,105.33
11/8/2017 4:00,2017,11,8,4,108.1
11/8/2017 5:00,2017,11,8,5,114.92
11/8/2017 6:00,2017,11,8,6,112.2
11/8/2017 7:00,2017,11,8,7,114.65
11/8/2017 8:00,2017,11,8,8,107.47
11/8/2017 9:00,2017,11,8,9,92.59
11/8/2017 10:00,2017,11,8,10,90.64
11/8/2017 11:00,2017,11,8,11,84.32
11/8/2017 12:00,2017,11,8,12,88.05
11/8/2017 14:00,2017,11,8,14,116.13
11/8/2017 15:00,2017,11,8,15,127.02
11/8/2017 16:00,2017,11,8,16,133.68
11/8/2017 17:00,2017,11,8,17,139.93
11/8/2017 18:00,2017,11,8,18,144.17
11/8/2017 19:00,2017,11,8,19,148.35
11/8/2017 20:00,2017,11,8,20,127.28
11/8/2017 21:00,2017,11,8,21,121.23
11/8/2017 22:00,2017,11,8,22,110.23
11/8/2017 23:00,2017,11,8,23,106.87
11/9/2017 0:00,2017,11,9,0,94.48
11/9/2017 1:00,2017,11,9,1,106.37
11/9/2017 2:00,2017,11,9,2,107.4
11/9/2017 3:00,2017,11,9,3,113.35
11/9/2017 4:00,2017,11,9,4,117.2
11/9/2017 5:00,2017,11,9,5,128.94
11/9/2017 6:00,2017,11,9,6,120.38
11/9/2017 7:00,2017,11,9,7,116.13
11/9/2017 8:00,2017,11,9,8,109.22
11/9/2017 9:00,2017,11,9,9,98.69
11/9/2017 10:00,2017,11,9,10,89.56
11/9/2017 11:00,2017,11,9,11,89.11
11/9/2017 12:00,2017,11,9,12,88.72
11/9/2017 13:00,2017,11,9,13,96.58
11/9/2017 14:00,2017,11,9,14,114.2
11/9/2017 15:00,2017,11,9,15,129.62
11/9/2017 16:00,2017,11,9,16,138.29
11/9/2017 17:00,2017,11,9,17,139
11/9/2017 18:00,2017,11,9,18,140.76
11/9/2017 19:00,2017,11,9,19,138.09
11/9/2017 20:00,2017,11,9,20,128.08
11/9/2017 21:00,2017,11,9,21,119.64
11/9/2017 22:00,2017,11,9,22,118.42
11/9/2017 23:00,2017,11,9,23,115.75
11/10/2017 0:00,2017,11,10,0,117.98
11/10/2017 1:00,2017,11,10,1,119.77
11/10/2017 2:00,2017,11,10,2,122.38
11/10/2017 3:00,2017,11,10,3,124.24
11/10/2017 4:00,2017,11,10,4,127.7
11/10/2017 5:00,2017,11,10,5,131.93
11/10/2017 6:00,2017,11,10,6,126.64
11/10/2017 7:00,2017,11,10,7,115.03
11/10/2017 8:00,2017,11,10,8,106.94
11/10/2017 9:00,2017,11,10,9,96.86
11/10/2017 11:00,2017,11,10,11,78.79
11/10/2017 12:00,2017,11,10,12,85.95
11/10/2017 13:00,2017,11,10,13,90.63
11/10/2017 14:00,2017,11,10,14,110.53
11/10/2017 15:00,2017,11,10,15,123.91
11/10/2017 16:00,2017,11,10,16,135.9
11/10/2017 17:00,2017,11,10,17,147.86
11/10/2017 18:00,2017,11,10,18,151.05
11/10/2017 19:00,2017,11,10,19,142.58
11/10/2017 20:00,2017,11,10,20,136.63
11/10/2017 22:00,2017,11,10,22,120.57
11/10/2017 23:00,2017,11,10,23,113.02
11/11/2017 0:00,2017,11,11,0,112.61
11/11/2017 1:00,2017,11,11,1,109.12
11/11/2017 2:00,2017,11,11,2,112.92
11/11/2017 3:00,2017,11,11,3,114.77
11/11/2017 4:00,2017,11,11,4,124.24
11/11/2017 5:00,2017,11,11,5,123.66
11/11/2017 6:00,2017,11,11,6,119.88
11/11/2017 7:00,2017,11,11,7,114.5
11/11/2017 8:00,2017,11,11,8,102.28
11/11/2017 9:00,2017,11,11,9,83.24
11/11/2017 10:00,2017,11,11,10,74.97
11/11/2017 11:00,2017,11,11,11,73.27
11/11/2017 12:00,2017,11,11,12,73.56
11/11/2017 13:00,2017,11,11,13,82.42
11/11/2017 14:00,2017,11,11,14,100.85
11/11/2017 15:00,2017,11,11,15,114.28
11/11/2017 17:00,2017,11,11,17,133.14
11/11/2017 18:00,2017,11,11,18,135.18
11/11/2017 19:00,2017,11,11,19,133.42
11/11/2017 21:00,2017,11,11,21,125.85
11/11/2017 22:00,2017,11,11,22,121.81
11/11/2017 23:00,2017,11,11,23,117.91
11/12/2017 0:00,2017,11,12,0,116.25
11/12/2017 1:00,2017,11,12,1,117.44
11/12/2017 2:00,2017,11,12,2,118.35
11/12/2017 3:00,2017,11,12,3,120.25
11/12/2017 4:00,2017,11,12,4,128.12
11/12/2017 5:00,2017,11,12,5,123.12
11/12/2017 6:00,2017,11,12,6,117.91
11/12/2017 7:00,2017,11,12,7,108.05
11/12/2017 8:00,2017,11,12,8,97.32
11/12/2017 9:00,2017,11,12,9,88.29
11/12/2017 10:00,2017,11,12,10,82.04
11/12/2017 11:00,2017,11,12,11,78.16
11/12/2017 16:00,2017,11,12,16,138.12
11/12/2017 17:00,2017,11,12,17,145.43
11/12/2017 18:00,2017,11,12,18,146.52
11/12/2017 19:00,2017,11,12,19,153.42
11/12/2017 20:00,2017,11,12,20,139.98
11/12/2017 21:00,2017,11,12,21,133.45
11/12/2017 22:00,2017,11,12,22,129.97
11/12/2017 23:00,2017,11,12,23,124.89
11/13/2017 0:00,2017,11,13,0,117.34
11/13/2017 1:00,2017,11,13,1,113.29
11/13/2017 2:00,2017,11,13,2,115.26
11/13/2017 3:00,2017,11,13,3,116.68
